Revise from: 0210344 Bypass 1 Cor Art from Cor Vn w Drug-elut Intralum, Perc      Bypass Coronary Artery, One Site from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0210344 Bypass 1 Cor Art from Cor V w Drug-elut Intralum, Perc       Bypass Coronary Artery, One Site from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02103D4 Bypass 1 Cor Art from Cor Vn w Intralum Dev, Perc            Bypass Coronary Artery, One Site from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02103D4 Bypass 1 Cor Art from Cor V with Intralum Dev, Perc Approach Bypass Coronary Artery, One Site from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0210444 Bypass 1 Cor Art from Cor Vn w Drug-elut Intralum, Perc Endo Bypass Coronary Artery, One Site from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0210444 Bypass 1 Cor Art from Cor V w Drug-elut Intralum, Perc Endo  Bypass Coronary Artery, One Site from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02104D4 Bypass 1 Cor Art from Cor Vn w Intralum Dev, Perc Endo       Bypass Coronary Artery, One Site from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02104D4 Bypass 1 Cor Art from Cor V w Intralum Dev, Perc Endo        Bypass Coronary Artery, One Site from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 0211344 Bypass 2 Cor Art from Cor Vn w Drug-elut Intralum, Perc      Bypass Coronary Artery, Two Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0211344 Bypass 2 Cor Art from Cor V w Drug-elut Intralum, Perc       Bypass Coronary Artery, Two Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02113D4 Bypass 2 Cor Art from Cor Vn w Intralum Dev, Perc            Bypass Coronary Artery, Two Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02113D4 Bypass 2 Cor Art from Cor V with Intralum Dev, Perc Approach Bypass Coronary Artery, Two Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0211444 Bypass 2 Cor Art from Cor Vn w Drug-elut Intralum, Perc Endo Bypass Coronary Artery, Two Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0211444 Bypass 2 Cor Art from Cor V w Drug-elut Intralum, Perc Endo  Bypass Coronary Artery, Two Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02114D4 Bypass 2 Cor Art from Cor Vn w Intralum Dev, Perc Endo       Bypass Coronary Artery, Two Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02114D4 Bypass 2 Cor Art from Cor V w Intralum Dev, Perc Endo        Bypass Coronary Artery, Two Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 0212344 Bypass 3 Cor Art from Cor Vn w Drug-elut Intralum, Perc      Bypass Coronary Artery, Three Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0212344 Bypass 3 Cor Art from Cor V w Drug-elut Intralum, Perc       Bypass Coronary Artery, Three Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02123D4 Bypass 3 Cor Art from Cor Vn w Intralum Dev, Perc            Bypass Coronary Artery, Three Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02123D4 Bypass 3 Cor Art from Cor V with Intralum Dev, Perc Approach Bypass Coronary Artery, Three Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0212444 Bypass 3 Cor Art from Cor Vn w Drug-elut Intralum, Perc Endo Bypass Coronary Artery, Three Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0212444 Bypass 3 Cor Art from Cor V w Drug-elut Intralum, Perc Endo  Bypass Coronary Artery, Three Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02124D4 Bypass 3 Cor Art from Cor Vn w Intralum Dev, Perc Endo       Bypass Coronary Artery, Three Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02124D4 Bypass 3 Cor Art from Cor V w Intralum Dev, Perc Endo        Bypass Coronary Artery, Three Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 0213344 Bypass 4+ Cor Art from Cor Vn w Drug-elut Intralum, Perc     Bypass Coronary Artery, Four or More Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0213344 Bypass 4+ Cor Art from Cor V w Drug-elut Intralum, Perc      Bypass Coronary Artery, Four or More Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02133D4 Bypass 4+ Cor Art from Cor Vn w Intralum Dev, Perc           Bypass Coronary Artery, Four or More Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02133D4 Bypass 4+ Cor Art from Cor V w Intralum Dev, Perc            Bypass Coronary Artery, Four or More Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0213444 Bypass 4+ Cor Art from Cor Vn w Drug-elut Intralum, Perc End Bypass Coronary Artery, Four or More Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0213444 Bypass 4+ Cor Art from Cor V w Drug-elut Intralum, Perc Endo Bypass Coronary Artery, Four or More Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02134D4 Bypass 4+ Cor Art from Cor Vn w Intralum Dev, Perc Endo      Bypass Coronary Artery, Four or More Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02134D4 Bypass 4+ Cor Art from Cor V w Intralum Dev, Perc Endo       Bypass Coronary Artery, Four or More Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 041K09H Bypass R Femor Art to R Femor A with Autol Vn, Open Approach Bypass Right Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09H Bypass R Fem Art to R Femor A with Autol Vn, Open Approach   Bypass Right Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09J Bypass R Femor Art to L Femor A with Autol Vn, Open Approach Bypass Right Femoral Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09J Bypass R Fem Art to L Femor A with Autol Vn, Open Approach   Bypass Right Femoral Artery to Left Femoral Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09K Bypass R Femor Art to B Femor A with Autol Vn, Open Approach Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
Revise to:   041K09K Bypass R Fem Art to B Femor A with Autol Vn, Open Approach   Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Open Approach
Revise from: 041K09L Bypass R Femor Art to Poplit Art w Autol Vn, Open            Bypass Right Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09L Bypass R Fem Art to Poplit Art with Autol Vn, Open Approach  Bypass Right Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09M Bypass R Femor Art to Peron Art with Autol Vn, Open Approach Bypass Right Femoral Artery to Peroneal Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09M Bypass R Fem Art to Peron Art with Autol Vn, Open Approach   Bypass Right Femoral Artery to Peroneal Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09N Bypass R Femor Art to Post Tib Art w Autol Vn, Open          Bypass Right Femoral Artery to Posterior Tibial Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09N Bypass R Fem Art to Post Tib Art w Autol Vn, Open            Bypass Right Femoral Artery to Posterior Tibial Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09P Bypass R Femor Art to Foot Art with Autol Vn, Open Approach  Bypass Right Femoral Artery to Foot Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09P Bypass R Fem Art to Foot Art with Autol Vn, Open Approach    Bypass Right Femoral Artery to Foot Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09Q Bypass R Femor Art to Low Ex Art w Autol Vn, Open            Bypass Right Femoral Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
Revise to:   041K09Q Bypass R Fem Art to Low Ex Art with Autol Vn, Open Approach  Bypass Right Femoral Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
Revise from: 041K09S Bypass R Femor Art to Low Ex Vein w Autol Vn, Open           Bypass Right Femoral Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Revise to:   041K09S Bypass R Fem Art to Low Ex Vein with Autol Vn, Open Approach Bypass Right Femoral Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Revise from: 041K0AH Bypass R Femor Art to R Femor A w Autol Art, Open            Bypass Right Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AH Bypass R Fem Art to R Femor A with Autol Art, Open Approach  Bypass Right Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AJ Bypass R Femor Art to L Femor A w Autol Art, Open            Bypass Right Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AJ Bypass R Fem Art to L Femor A with Autol Art, Open Approach  Bypass Right Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AK Bypass R Femor Art to B Femor A w Autol Art, Open            Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AK Bypass R Fem Art to B Femor A with Autol Art, Open Approach  Bypass Right Femoral Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AL Bypass R Femor Art to Poplit Art w Autol Art, Open           Bypass Right Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AL Bypass R Fem Art to Poplit Art with Autol Art, Open Approach Bypass Right Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AM Bypass R Femor Art to Peron Art w Autol Art, Open            Bypass Right Femoral Artery to Peroneal Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AM Bypass R Fem Art to Peron Art with Autol Art, Open Approach  Bypass Right Femoral Artery to Peroneal Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AN Bypass R Femor Art to Post Tib Art w Autol Art, Open         Bypass Right Femoral Artery to Posterior Tibial Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AN Bypass R Fem Art to Post Tib Art w Autol Art, Open           Bypass Right Femoral Artery to Posterior Tibial Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AP Bypass R Femor Art to Foot Art with Autol Art, Open Approach Bypass Right Femoral Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AP Bypass R Fem Art to Foot Art with Autol Art, Open Approach   Bypass Right Femoral Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AQ Bypass R Femor Art to Low Ex Art w Autol Art, Open           Bypass Right Femoral Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AQ Bypass R Fem Art to Low Ex Art with Autol Art, Open Approach Bypass Right Femoral Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
Revise from: 041K0AS Bypass R Femor Art to Low Ex Vein w Autol Art, Open          Bypass Right Femoral Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Revise to:   041K0AS Bypass R Fem Art to Low Ex Vein w Autol Art, Open            Bypass Right Femoral Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Revise from: 041K0JH Bypass R Femor Art to R Femor A w Synth Sub, Open            Bypass Right Femoral Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
Revise to:   041K0JH Bypass R Fem Art to R Femor A with Synth Sub, Open Approach  Bypass Right Femoral Artery to Right Femoral Artery with Synthetic Substitute, Open Approach
Revise from: 041K0JJ Bypass R Femor Art to L Femor A w Synth Sub, Open            Bypass Right Femoral Artery to Left Femoral Artery with Synthetic Substitute, Open Approach
